imagem,icm_score,condicao,n_deteccoes
1020.jpg,0,Pessimo,15
1025.jpg,0,Pessimo,26
1027.jpg,0,Pessimo,29
1028.jpg,0,Pessimo,23
1044.jpg,0,Pessimo,25
1049.jpg,0,Pessimo,34
1050.jpg,0,Pessimo,15
1053.jpg,0,Pessimo,28
1060.jpg,0,Pessimo,22
1062.jpg,0,Pessimo,22
1075.jpg,0,Pessimo,22
1088.jpg,0,Pessimo,21
1090.jpg,0,Pessimo,22
1096.jpg,0,Pessimo,19
1100.jpg,0,Pessimo,20
1101.jpg,0,Pessimo,17
1103.jpg,0,Pessimo,14
1111.jpg,0,Pessimo,22
1115.jpg,0,Pessimo,20
1138.jpg,0,Pessimo,24
1145.jpg,0,Pessimo,21
115.jpg,0,Pessimo,26
1157.jpg,0,Pessimo,25
1160.jpg,0,Pessimo,20
1161.jpg,0,Pessimo,27
1162.jpg,0,Pessimo,20
1163.jpg,0,Pessimo,25
1166.jpg,0,Pessimo,22
117.jpg,0,Pessimo,27
1170.jpg,0,Pessimo,24
1173.jpg,0,Pessimo,28
118.jpg,0,Pessimo,29
1180.jpg,0,Pessimo,22
1192.jpg,0,Pessimo,24
1195.jpg,0,Pessimo,21
1199.jpg,0,Pessimo,11
1200.jpg,0,Pessimo,15
1201.jpg,0,Pessimo,11
1210.jpg,0,Pessimo,16
1211.jpg,0,Pessimo,19
1213.jpg,0,Pessimo,21
1229.jpg,0,Pessimo,16
123.jpg,0,Pessimo,20
124.jpg,0,Pessimo,25
1246.jpg,0,Pessimo,12
1253.jpg,0,Pessimo,12
1255.jpg,0,Pessimo,14
1257.jpg,0,Pessimo,19
1259.jpg,0,Pessimo,22
1265.jpg,0,Pessimo,21
1285.jpg,0,Pessimo,18
129.jpg,0,Pessimo,32
1307.jpg,0,Pessimo,16
1309.jpg,0,Pessimo,18
1314.jpg,0,Pessimo,20
1319.jpg,0,Pessimo,11
132.jpg,0,Pessimo,35
1334.jpg,0,Pessimo,11
1335.jpg,0,Pessimo,19
1341.jpg,0,Pessimo,32
1350.jpg,0,Pessimo,32
1354.jpg,0,Pessimo,45
1370.jpg,0,Pessimo,35
1374.jpg,0,Pessimo,29
1385.jpg,0,Pessimo,19
1386.jpg,0,Pessimo,16
1417.jpg,0,Pessimo,21
1424.jpg,0,Pessimo,35
1425.jpg,0,Pessimo,28
1428.jpg,0,Pessimo,20
143.jpg,0,Pessimo,25
1435.jpg,0,Pessimo,29
1444.jpg,0,Pessimo,32
1445.jpg,0,Pessimo,36
145.jpg,0,Pessimo,35
1453.jpg,0,Pessimo,27
1467.jpg,0,Pessimo,26
1470.jpg,0,Pessimo,29
1471.jpg,0,Pessimo,33
1477.jpg,0,Pessimo,27
1486.jpg,0,Pessimo,20
1492.jpg,0,Pessimo,29
1500.jpg,0,Pessimo,33
1503.jpg,0,Pessimo,25
1506.jpg,0,Pessimo,21
151.jpg,0,Pessimo,26
1510.jpg,0,Pessimo,25
1515.jpg,0,Pessimo,19
1524.jpg,0,Pessimo,27
1525.jpg,0,Pessimo,41
153.jpg,0,Pessimo,35
1530.jpg,0,Pessimo,30
1534.jpg,0,Pessimo,28
1535.jpg,0,Pessimo,31
1537.jpg,0,Pessimo,32
154.jpg,0,Pessimo,24
1544.jpg,0,Pessimo,24
1545.jpg,0,Pessimo,26
155.jpg,0,Pessimo,27
1551.jpg,0,Pessimo,32
1557.jpg,0,Pessimo,46
1563.jpg,0,Pessimo,22
1564.jpg,0,Pessimo,26
1566.jpg,0,Pessimo,19
1567.jpg,0,Pessimo,24
1570.jpg,0,Pessimo,25
1574.jpg,0,Pessimo,26
1576.jpg,0,Pessimo,34
1591.jpg,0,Pessimo,25
1595.jpg,0,Pessimo,23
1596.jpg,0,Pessimo,23
1599.jpg,0,Pessimo,33
1605.jpg,0,Pessimo,22
1631.jpg,0,Pessimo,22
1636.jpg,0,Pessimo,31
1638.jpg,0,Pessimo,33
1648.jpg,0,Pessimo,24
1661.jpg,0,Pessimo,38
1667.jpg,0,Pessimo,32
167.jpg,0,Pessimo,23
1670.jpg,0,Pessimo,31
1680.jpg,0,Pessimo,31
1682.jpg,0,Pessimo,34
1689.jpg,0,Pessimo,32
170.jpg,0,Pessimo,20
1705.jpg,0,Pessimo,35
1708.jpg,0,Pessimo,40
1730.jpg,0,Pessimo,27
1738.jpg,0,Pessimo,32
1747.jpg,0,Pessimo,21
175.jpg,0,Pessimo,31
1765.jpg,0,Pessimo,22
1769.jpg,0,Pessimo,25
1772.jpg,0,Pessimo,32
1773.jpg,0,Pessimo,39
1781.jpg,0,Pessimo,24
1786.jpg,0,Pessimo,32
1793.jpg,0,Pessimo,26
1794.jpg,0,Pessimo,23
1798.jpg,0,Pessimo,22
180.jpg,0,Pessimo,30
181.jpg,0,Pessimo,37
1818.jpg,0,Pessimo,24
182.jpg,0,Pessimo,29
1821.jpg,0,Pessimo,27
1823.jpg,0,Pessimo,45
1826.jpg,0,Pessimo,26
1835.jpg,0,Pessimo,36
184.jpg,0,Pessimo,29
1841.jpg,0,Pessimo,35
1844.jpg,0,Pessimo,32
1848.jpg,0,Pessimo,26
1872.jpg,0,Pessimo,28
1878.jpg,0,Pessimo,31
1880.jpg,0,Pessimo,35
1882.jpg,0,Pessimo,29
1900.jpg,0,Pessimo,40
1912.jpg,0,Pessimo,34
1914.jpg,0,Pessimo,31
1917.jpg,0,Pessimo,31
192.jpg,0,Pessimo,35
1923.jpg,0,Pessimo,29
1939.jpg,0,Pessimo,41
1945.jpg,0,Pessimo,32
1953.jpg,0,Pessimo,38
1958.jpg,0,Pessimo,41
1972.jpg,0,Pessimo,25
1977.jpg,0,Pessimo,22
1983.jpg,0,Pessimo,29
199.jpg,0,Pessimo,33
1993.jpg,0,Pessimo,41
1996.jpg,0,Pessimo,30
1998.jpg,0,Pessimo,25
2003.jpg,0,Pessimo,27
2020.jpg,0,Pessimo,23
2023.jpg,0,Pessimo,28
203.jpg,0,Pessimo,27
207.jpg,0,Pessimo,35
21.jpg,0,Pessimo,26
215.jpg,0,Pessimo,22
223.jpg,0,Pessimo,21
242.jpg,0,Pessimo,26
246.jpg,0,Pessimo,31
254.jpg,0,Pessimo,20
259.jpg,0,Pessimo,44
264.jpg,0,Pessimo,31
265.jpg,0,Pessimo,24
275.jpg,0,Pessimo,21
28.jpg,0,Pessimo,37
287.jpg,0,Pessimo,30
290.jpg,0,Pessimo,38
3.jpg,0,Pessimo,36
30.jpg,0,Pessimo,25
303.jpg,0,Pessimo,31
316.jpg,0,Pessimo,30
32.jpg,0,Pessimo,20
323.jpg,0,Pessimo,31
327.jpg,0,Pessimo,34
332.jpg,0,Pessimo,20
335.jpg,0,Pessimo,29
342.jpg,0,Pessimo,33
343.jpg,0,Pessimo,26
349.jpg,0,Pessimo,30
353.jpg,0,Pessimo,27
356.jpg,0,Pessimo,33
387.jpg,0,Pessimo,28
39.jpg,0,Pessimo,41
410.jpg,0,Pessimo,21
423.jpg,0,Pessimo,26
427.jpg,0,Pessimo,23
435.jpg,0,Pessimo,20
446.jpg,0,Pessimo,16
455.jpg,0,Pessimo,24
460.jpg,0,Pessimo,26
461.jpg,0,Pessimo,23
47.jpg,0,Pessimo,24
479.jpg,0,Pessimo,18
486.jpg,0,Pessimo,42
493.jpg,0,Pessimo,22
499.jpg,0,Pessimo,23
513.jpg,0,Pessimo,15
520.jpg,0,Pessimo,27
526.jpg,0,Pessimo,23
531.jpg,0,Pessimo,24
532.jpg,0,Pessimo,26
534.jpg,0,Pessimo,26
536.jpg,0,Pessimo,28
540.jpg,0,Pessimo,30
546.jpg,0,Pessimo,28
548.jpg,0,Pessimo,22
556.jpg,0,Pessimo,36
56.jpg,0,Pessimo,30
561.jpg,0,Pessimo,33
571.jpg,0,Pessimo,31
604.jpg,0,Pessimo,17
609.jpg,0,Pessimo,19
613.jpg,0,Pessimo,18
637.jpg,0,Pessimo,14
6388.jpg,0,Pessimo,22
6393.jpg,0,Pessimo,31
6395.jpg,0,Pessimo,30
6398.jpg,0,Pessimo,32
6405.jpg,0,Pessimo,45
6421.jpg,0,Pessimo,36
6435.jpg,0,Pessimo,29
6444.jpg,0,Pessimo,25
6446.jpg,0,Pessimo,32
645.jpg,0,Pessimo,17
6456.jpg,0,Pessimo,29
6458.jpg,0,Pessimo,28
6459.jpg,0,Pessimo,26
6460.jpg,0,Pessimo,30
6477.jpg,0,Pessimo,36
6491.jpg,0,Pessimo,31
6496.jpg,0,Pessimo,34
6502.jpg,0,Pessimo,31
6505.jpg,0,Pessimo,31
6507.jpg,0,Pessimo,44
6543.jpg,0,Pessimo,38
6544.jpg,0,Pessimo,32
6549.jpg,0,Pessimo,31
6550.jpg,0,Pessimo,38
6554.jpg,0,Pessimo,33
6557.jpg,0,Pessimo,32
656.jpg,0,Pessimo,21
6561.jpg,0,Pessimo,42
6562.jpg,0,Pessimo,32
6563.jpg,0,Pessimo,34
6572.jpg,0,Pessimo,30
6588.jpg,0,Pessimo,30
6599.jpg,0,Pessimo,41
66.jpg,0,Pessimo,26
660.jpg,0,Pessimo,19
6605.jpg,0,Pessimo,33
661.jpg,0,Pessimo,14
6616.jpg,0,Pessimo,32
6618.jpg,0,Pessimo,34
6622.jpg,0,Pessimo,27
663.jpg,0,Pessimo,19
6640.jpg,0,Pessimo,25
6644.jpg,0,Pessimo,24
6653.jpg,0,Pessimo,35
6662.jpg,0,Pessimo,38
6672.jpg,0,Pessimo,35
6674.jpg,0,Pessimo,34
6676.jpg,0,Pessimo,29
6680.jpg,0,Pessimo,29
6684.jpg,0,Pessimo,24
6687.jpg,0,Pessimo,27
6693.jpg,0,Pessimo,31
6705.jpg,0,Pessimo,33
671.jpg,0,Pessimo,29
6724.jpg,0,Pessimo,30
6728.jpg,0,Pessimo,28
6741.jpg,0,Pessimo,29
6744.jpg,0,Pessimo,38
6749.jpg,0,Pessimo,28
6750.jpg,0,Pessimo,32
6751.jpg,0,Pessimo,32
6754.jpg,0,Pessimo,34
676.jpg,0,Pessimo,16
6764.jpg,0,Pessimo,33
6767.jpg,0,Pessimo,40
6778.jpg,0,Pessimo,28
6779.jpg,0,Pessimo,26
6798.jpg,0,Pessimo,34
6807.jpg,0,Pessimo,33
681.jpg,0,Pessimo,23
6810.jpg,0,Pessimo,27
6823.jpg,0,Pessimo,28
6836.jpg,0,Pessimo,21
6838.jpg,0,Pessimo,23
6858.jpg,0,Pessimo,29
6862.jpg,0,Pessimo,29
6869.jpg,0,Pessimo,31
6873.jpg,0,Pessimo,29
6874.jpg,0,Pessimo,28
6877.jpg,0,Pessimo,28
6881.jpg,0,Pessimo,37
6882.jpg,0,Pessimo,37
6887.jpg,0,Pessimo,29
6888.jpg,0,Pessimo,30
6892.jpg,0,Pessimo,26
6898.jpg,0,Pessimo,37
6899.jpg,0,Pessimo,45
69.jpg,0,Pessimo,21
6900.jpg,0,Pessimo,34
6901.jpg,0,Pessimo,28
6905.jpg,0,Pessimo,27
6911.jpg,0,Pessimo,35
6912.jpg,0,Pessimo,29
6916.jpg,0,Pessimo,29
6917.jpg,0,Pessimo,26
6924.jpg,0,Pessimo,33
6928.jpg,0,Pessimo,33
6931.jpg,0,Pessimo,26
6932.jpg,0,Pessimo,22
6938.jpg,0,Pessimo,32
694.jpg,0,Pessimo,12
6944.jpg,0,Pessimo,34
6949.jpg,0,Pessimo,29
6953.jpg,0,Pessimo,31
696.jpg,0,Pessimo,26
6961.jpg,0,Pessimo,31
6969.jpg,0,Pessimo,29
6984.jpg,0,Pessimo,31
7006.jpg,0,Pessimo,30
7013.jpg,0,Pessimo,24
7017.jpg,0,Pessimo,35
7022.jpg,0,Pessimo,30
7023.jpg,0,Pessimo,28
703.jpg,0,Pessimo,14
7041.jpg,0,Pessimo,21
7044.jpg,0,Pessimo,24
7051.jpg,0,Pessimo,20
7052.jpg,0,Pessimo,24
7060.jpg,0,Pessimo,34
7067.jpg,0,Pessimo,31
7071.jpg,0,Pessimo,28
7087.jpg,0,Pessimo,25
71.jpg,0,Pessimo,35
7102.jpg,0,Pessimo,23
7105.jpg,0,Pessimo,30
7110.jpg,0,Pessimo,23
7112.jpg,0,Pessimo,24
7116.jpg,0,Pessimo,22
7119.jpg,0,Pessimo,22
712.jpg,0,Pessimo,16
7148.jpg,0,Pessimo,24
7160.jpg,0,Pessimo,28
7161.jpg,0,Pessimo,28
7162.jpg,0,Pessimo,24
7172.jpg,0,Pessimo,27
7179.jpg,0,Pessimo,30
7180.jpg,0,Pessimo,28
7195.jpg,0,Pessimo,26
7197.jpg,0,Pessimo,16
7217.jpg,0,Pessimo,40
7221.jpg,0,Pessimo,28
7224.jpg,0,Pessimo,33
7231.jpg,0,Pessimo,31
7233.jpg,0,Pessimo,22
7236.jpg,0,Pessimo,26
7243.jpg,0,Pessimo,27
7244.jpg,0,Pessimo,33
7261.jpg,0,Pessimo,33
7274.jpg,0,Pessimo,35
7275.jpg,0,Pessimo,31
7276.jpg,0,Pessimo,32
728.jpg,0,Pessimo,26
7285.jpg,0,Pessimo,32
7297.jpg,0,Pessimo,26
7302.jpg,0,Pessimo,30
7304.jpg,0,Pessimo,35
732.jpg,0,Pessimo,22
7320.jpg,0,Pessimo,31
7325.jpg,0,Pessimo,29
7330.jpg,0,Pessimo,34
7331.jpg,0,Pessimo,37
7335.jpg,0,Pessimo,38
7344.jpg,0,Pessimo,28
7356.jpg,0,Pessimo,35
7363.jpg,0,Pessimo,29
7364.jpg,0,Pessimo,31
7366.jpg,0,Pessimo,28
7367.jpg,0,Pessimo,34
7372.jpg,0,Pessimo,32
7373.jpg,0,Pessimo,30
7374.jpg,0,Pessimo,29
7377.jpg,0,Pessimo,36
7378.jpg,0,Pessimo,34
7383.jpg,0,Pessimo,34
7385.jpg,0,Pessimo,36
741.jpg,0,Pessimo,15
7414.jpg,0,Pessimo,36
7417.jpg,0,Pessimo,39
7425.jpg,0,Pessimo,37
7426.jpg,0,Pessimo,29
7427.jpg,0,Pessimo,28
7429.jpg,0,Pessimo,29
7434.jpg,0,Pessimo,36
7439.jpg,0,Pessimo,31
7443.jpg,0,Pessimo,34
7445.jpg,0,Pessimo,27
7475.jpg,0,Pessimo,37
7488.jpg,0,Pessimo,28
7489.jpg,0,Pessimo,28
7490.jpg,0,Pessimo,31
7493.jpg,0,Pessimo,33
7503.jpg,0,Pessimo,28
7521.jpg,0,Pessimo,25
7523.jpg,0,Pessimo,26
7528.jpg,0,Pessimo,26
7538.jpg,0,Pessimo,29
7539.jpg,0,Pessimo,30
754.jpg,0,Pessimo,14
7563.jpg,0,Pessimo,28
7573.jpg,0,Pessimo,32
7580.jpg,0,Pessimo,22
7588.jpg,0,Pessimo,26
7589.jpg,0,Pessimo,28
7592.jpg,0,Pessimo,35
7595.jpg,0,Pessimo,32
7598.jpg,0,Pessimo,38
760.jpg,0,Pessimo,24
7604.jpg,0,Pessimo,30
7605.jpg,0,Pessimo,34
7606.jpg,0,Pessimo,35
7614.jpg,0,Pessimo,43
7620.jpg,0,Pessimo,42
7633.jpg,0,Pessimo,34
7640.jpg,0,Pessimo,33
7656.jpg,0,Pessimo,39
766.jpg,0,Pessimo,29
